listing_id,neighborhood_id,latitude,longitude
3105895,1,43.81228,-79.28721
5650457,1,43.8091,-79.26616
15436342,1,43.81607,-79.27076
16428955,1,43.81391,-79.27254
20350463,1,43.81405,-79.27049
24834946,1,43.81331,-79.27646
26401035,1,43.81362,-79.27622
26426102,1,43.81458,-79.27635
27797167,1,43.80493,-79.26969
27451635,1,43.80303,-79.26968
27061985,1,43.80352,-79.25676
27925541,1,43.80283,-79.27042
28542323,1,43.80456,-79.26989
28763650,1,43.80193,-79.27837
32863530,1,43.80794,-79.27934
34639823,1,43.80939,-79.27866
37803041,1,43.80554,-79.27657
38627777,1,43.79894,-79.27473
39056950,1,43.80386,-79.2568
38551584,1,43.80656,-79.26004
46917325,1,43.80288,-79.27667
49485362,1,43.800537,-79.28196
52632060,1,43.81408,-79.26773
53508442,1,43.81487,-79.2678
597227126622663488,1,43.81002,-79.28846
624475642498627658,1,43.8114,-79.28653
680276658554379821,1,43.80707,-79.26202
680322083912786003,1,43.80792,-79.26186
680325450232697707,1,43.80711,-79.26196
727732290850141315,1,43.81069,-79.27951
740002107587552434,1,43.8098257,-79.2558987
764372380322215598,1,43.8005254,-79.2837626
813874041649448615,1,43.8155018,-79.2679601
899564768186038766,1,43.8145557,-79.2732619
899576044367373073,1,43.81456,-79.27365
904665195236574244,1,43.8150272,-79.2717729
903941066610622035,1,43.81483,-79.27199
1456369,2,43.79099,-79.27216
5406518,2,43.79689,-79.28574
7051022,2,43.78923,-79.28811
9295372,2,43.79613,-79.27518
9586124,2,43.78393,-79.28311
11182063,2,43.79279,-79.28286
14979419,2,43.79137,-79.28497
16846122,2,43.78604,-79.25858
16242696,2,43.78611,-79.26045
18025071,2,43.78828,-79.28966
20253270,2,43.78711,-79.26237
19914475,2,43.77941,-79.28381
21428263,2,43.78862,-79.26913
23256004,2,43.77935,-79.28497
23131818,2,43.7895852,-79.2767335
24186035,2,43.78609,-79.26049
26330352,2,43.78233,-79.26963
27612911,2,43.78435,-79.2578
27638920,2,43.78603,-79.25753
27898676,2,43.78603,-79.2597
27548751,2,43.78718,-79.25957
27549417,2,43.78638,-79.2605
27549705,2,43.78842,-79.26159
27570674,2,43.78398,-79.25749
28108856,2,43.78674,-79.25982
28109472,2,43.78641,-79.26165
28133509,2,43.78774,-79.25954
28990968,2,43.79244,-79.27205
28336416,2,43.7904,-79.25105
29274511,2,43.78528,-79.28712
30505646,2,43.7907,-79.27521
33079772,2,43.79033,-79.25104
33496706,2,43.77815,-79.2801
34146489,2,43.78073,-79.28314
35080928,2,43.78097,-79.28407
35189977,2,43.79139,-79.24931
35709680,2,43.79139,-79.24725
36073050,2,43.79552,-79.2858
36320524,2,43.78419,-79.25763
36844176,2,43.79409,-79.28454
36344233,2,43.78985,-79.24949
36344754,2,43.7916,-79.24861
36345057,2,43.79048,-79.24949
36958688,2,43.78763,-79.26955
38802553,2,43.79015,-79.28829
39488588,2,43.78765,-79.26527
39519288,2,43.79071,-79.274
40084387,2,43.79448,-79.2759
43878959,2,43.77842,-79.28052
46749643,2,43.79032,-79.2722
49267942,2,43.77658,-79.2821
53189361,2,43.78558,-79.28748
53766352,2,43.79476,-79.28437
53926476,2,43.78057,-79.274
54391242,2,43.78075,-79.26369
567490118794503501,2,43.78176,-79.27358
609695653213691603,2,43.77663,-79.28201
647051482577115559,2,43.7820558,-79.2737627
651767191232767085,2,43.7783832,-79.2804665
661577914612679799,2,43.78024,-79.27393
675983316657341703,2,43.79439,-79.28596
708951891641235262,2,43.7825,-79.26344
757251680513748192,2,43.8022827,-79.2902353
767579071051910917,2,43.7894411,-79.2766241
773820985638230736,2,43.78833,-79.28325
781160681957126467,2,43.7913268,-79.2382904
786849090230872682,2,43.7903385,-79.2445081
779219890266062906,2,43.7784,-79.28208
805894917954137321,2,43.7774793,-79.2796883
821267875844193658,2,43.7958127,-79.2881571
842942539256732817,2,43.79286,-79.28236
860968320270753291,2,43.7909548,-79.2455334
859744462520293942,2,43.78879,-79.27775
885522527407577732,2,43.7784653,-79.280098
891489719475532749,2,43.79014,-79.27727
891490372487488136,2,43.78861,-79.27695
904606649031488526,2,43.7884385,-79.2769316
904617042377526084,2,43.78875,-79.27597
904627803324900595,2,43.78888,-79.27559
905746565078087261,2,43.7900708,-79.2756873
7256445,3,43.61054,-79.55025
8400387,3,43.59773,-79.54898
7966411,3,43.60436,-79.52969
9896151,3,43.59477,-79.54562
10922780,3,43.60016,-79.5473
13477083,3,43.61062,-79.55007
14202538,3,43.60048,-79.5458
18199503,3,43.6074,-79.53628
21261765,3,43.6075489,-79.5361728
21838013,3,43.6075489,-79.5361728
21961180,3,43.6075489,-79.5361728
22978117,3,43.60527,-79.553
23109067,3,43.59919,-79.54892
26028947,3,43.59524,-79.54687
32021180,3,43.6102,-79.53433
34911285,3,43.60919,-79.53412
37942587,3,43.59367,-79.54386
42636532,3,43.6038,-79.54112
42657475,3,43.60152,-79.55436
48752454,3,43.60549,-79.53825
52410988,3,43.59212,-79.54622
53983852,3,43.59034,-79.5487
54266970,3,43.59546,-79.54388
591941695175306660,3,43.60655,-79.54084
572448937997399455,3,43.59834,-79.54562
629567302080944875,3,43.60552,-79.53961
637447507466660005,3,43.610794,-79.539948
633210318194492405,3,43.609558,-79.549118
649415295698645493,3,43.61395,-79.5384
666033623601614663,3,43.5939792,-79.5423327
664575513119939756,3,43.6103913,-79.5513204
670552628563510097,3,43.60191,-79.5463
684247917218032379,3,43.60597,-79.53062
696973520016945803,3,43.61211,-79.53985
705805013060977199,3,43.60807,-79.55296
711903556840106833,3,43.60464,-79.55513
730535742767197651,3,43.60883,-79.55287
736383788039343718,3,43.60177,-79.54437
749199173801226642,3,43.60468,-79.55704
749205253298874433,3,43.60916,-79.52999
758766584268572900,3,43.60266,-79.54025
786561762348504815,3,43.60019,-79.54461
778222332210829429,3,43.6110609,-79.5388638
801484608233102807,3,43.6096472,-79.5406425
818762970527235614,3,43.5988,-79.55304
834113478843433057,3,43.6034605,-79.5475391
848591054011310717,3,43.6075489,-79.5361728
852362225683376096,3,43.6065757,-79.5348056
857121370403697837,3,43.6120895,-79.5375653
858819633824227053,3,43.6048464,-79.5368432
867243159632168107,3,43.6057449,-79.537978
883233424280252431,3,43.609568,-79.5514103
896928966862065951,3,43.6132,-79.54033
1223097,4,43.6695,-79.40656
833588,4,43.66943,-79.39085
232794,4,43.6715929,-79.3908687
239449,4,43.66701,-79.40625
251549,4,43.66584,-79.41251
1475851,4,43.67197,-79.38791
291699,4,43.6702919,-79.4165955
1552251,4,43.66923,-79.41685
1912746,4,43.66586,-79.40997
1785285,4,43.67013,-79.41524
2807413,4,43.67942,-79.3947
1820689,4,43.67143,-79.3912
2117841,4,43.67021,-79.41766
3851368,4,43.66872,-79.39841
2478644,4,43.67216,-79.41629
3434451,4,43.67419,-79.40097
3494354,4,43.67051,-79.39618
4745393,4,43.66582,-79.40907
5136068,4,43.67199,-79.4008
4197272,4,43.66742,-79.41344
4226957,4,43.67163,-79.39037
4791619,4,43.67014,-79.39671
5286926,4,43.67212,-79.41644
4853419,4,43.67456,-79.40151
4860596,4,43.66965,-79.41708
4321434,4,43.67499,-79.40937
4867420,4,43.6745682,-79.3885803
6099507,4,43.6704,-79.41972
6103899,4,43.6734,-79.41086
5117285,4,43.67167,-79.41382
6149212,4,43.66765,-79.41825
6181153,4,43.67604,-79.39971
6182571,4,43.67381,-79.39839
5884597,4,43.67019,-79.40275
5989531,4,43.67094,-79.40216
6603293,4,43.6703,-79.41455
6317854,4,43.67193,-79.40179
6656879,4,43.6681,-79.40091
6701632,4,43.67098,-79.389
7109515,4,43.67574,-79.40059
6936873,4,43.67391,-79.40384
6939824,4,43.66538,-79.41031
7160353,4,43.66794,-79.40581
6781270,4,43.67433,-79.40719
6782410,4,43.66877,-79.39739
6819218,4,43.67282,-79.41501
7249167,4,43.67198,-79.38995
6868389,4,43.67808,-79.39287
8050528,4,43.66801,-79.40699
7602269,4,43.67446,-79.39457
7629302,4,43.67191,-79.40359
7632102,4,43.66675,-79.40748
8288471,4,43.67349,-79.40878
8756827,4,43.66886,-79.40849
8760673,4,43.67308,-79.39055
8419680,4,43.67528,-79.40692
